"Time","Breastfeeding","Infant formula"
"2021-06-01",88,17
"2021-07-01",96,17
"2021-08-01",97,17
"2021-09-01",87,17
"2021-10-01",87,18
"2021-11-01",91,18
"2021-12-01",85,18
"2022-01-01",99,20
"2022-02-01",91,25
"2022-03-01",86,22
"2022-04-01",84,22
"2022-05-01",86,54
"2022-06-01",88,27
"2022-07-01",90,22
"2022-08-01",100,22
"2022-09-01",93,21
"2022-10-01",94,20
"2022-11-01",86,20
"2022-12-01",83,19
"2023-01-01",94,20
"2023-02-01",90,19
"2023-03-01",85,19
"2023-04-01",81,18
"2023-05-01",83,19
"2023-06-01",81,19
"2023-07-01",83,19
"2023-08-01",87,20
"2023-09-01",83,20
"2023-10-01",82,20
"2023-11-01",80,19
"2023-12-01",80,19
"2024-01-01",82,20
"2024-02-01",80,19
"2024-03-01",80,19
"2024-04-01",80,18
"2024-05-01",79,19
"2024-06-01",74,17
"2024-07-01",80,18
"2024-08-01",86,20
"2024-09-01",76,18
"2024-10-01",83,23
"2024-11-01",77,20
"2024-12-01",85,20
"2025-01-01",82,21
"2025-02-01",81,20
"2025-03-01",79,22
"2025-04-01",78,21
"2025-05-01",77,21
"2025-06-01",77,21
"2025-07-01",79,23
"2025-08-01",89,27
"2025-09-01",83,25
"2025-10-01",85,25
"2025-11-01",82,30
"2025-12-01",81,27
"2026-01-01",85,31
"2026-02-01",83,31
"2026-03-01",87,30
"2026-04-01",90,30
"2026-05-01",96,31
"2026-06-01",79,24