"Time","vitamins for kids","healthy snacks for kids","child growth and development","pediatric nutrition","childhood nutrition","immune system support for children","immune boosters for children"
"2021-06-01",26,14,12,6,3,0,0
"2021-07-01",29,13,10,6,3,0,0
"2021-08-01",45,18,12,6,3,0,0
"2021-09-01",40,16,17,6,5,0,0
"2021-10-01",34,15,19,6,6,0,0
"2021-11-01",31,13,21,6,5,0,0
"2021-12-01",29,11,13,6,3,0,0
"2022-01-01",39,18,18,7,4,0,0
"2022-02-01",33,17,25,7,6,0,0
"2022-03-01",32,16,23,7,7,0,0
"2022-04-01",31,15,19,8,7,0,0
"2022-05-01",30,16,16,6,5,0,0
"2022-06-01",31,19,16,6,4,0,0
"2022-07-01",32,16,13,6,4,0,0
"2022-08-01",36,21,12,6,4,0,0
"2022-09-01",38,20,20,7,5,0,0
"2022-10-01",38,15,22,7,6,0,0
"2022-11-01",38,14,22,7,6,0,0
"2022-12-01",33,12,17,6,5,0,0
"2023-01-01",44,19,18,7,4,0,0
"2023-02-01",41,20,21,8,6,0,0
"2023-03-01",42,16,20,7,5,0,0
"2023-04-01",35,15,17,7,6,0,0
"2023-05-01",38,16,16,7,5,0,0
"2023-06-01",33,17,14,7,5,0,0
"2023-07-01",39,17,13,7,4,0,0
"2023-08-01",42,19,13,6,4,0,0
"2023-09-01",41,20,19,7,6,0,0
"2023-10-01",42,18,22,7,6,0,0
"2023-11-01",41,15,17,7,6,0,0
"2023-12-01",39,14,16,6,4,0,0
"2024-01-01",48,20,17,8,5,0,0
"2024-02-01",52,20,21,8,6,0,0
"2024-03-01",46,19,19,7,6,0,0
"2024-04-01",43,20,17,8,7,0,0
"2024-05-01",37,19,14,8,5,0,0
"2024-06-01",37,19,13,7,5,0,0
"2024-07-01",42,20,12,8,6,0,0
"2024-08-01",57,27,13,8,6,0,0
"2024-09-01",48,26,20,9,6,0,0
"2024-10-01",45,23,21,9,7,0,0
"2024-11-01",47,19,19,8,6,0,0
"2024-12-01",43,18,14,7,5,0,0
"2025-01-01",58,28,15,8,5,0,0
"2025-02-01",57,24,20,9,7,0,0
"2025-03-01",51,23,19,10,8,0,0
"2025-04-01",47,21,18,9,7,0,0
"2025-05-01",47,19,14,9,6,0,0
"2025-06-01",45,22,14,10,6,0,0
"2025-07-01",47,23,13,15,10,0,0
"2025-08-01",61,32,18,54,26,0,0
"2025-09-01",58,29,27,57,38,1,0
"2025-10-01",56,24,25,59,34,1,0
"2025-11-01",64,22,25,65,39,0,0
"2025-12-01",64,22,23,59,35,1,0
"2026-01-01",72,29,27,62,37,1,0
"2026-02-01",73,32,33,68,46,1,0
"2026-03-01",70,30,29,68,48,1,0
"2026-04-01",75,29,29,89,66,1,0
"2026-05-01",77,28,35,100,66,2,0
"2026-06-01",47,23,14,30,18,0,0